"","X","DBN","School.Name.x","Year.x","Percent_Attendance","Demographic.Category","Demographic.Variable","Percent_Chronically_Absent","School.Name.y","Year.y","Total.Enrollment","Grade.3","X..Female","X..Male","X..Black","X..White","X..Students.with.Disabilities","X..Poverty","Economic.Need.Index","Gen.Ed","ICT","SC.12.1","SC.12.1.1","SC.15.1","SC.6.1.1","SC.8.1.1","borough"
"1224",1224,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","s","Ethnicity","Black","s","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1225",1225,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","97.0","SWD Status","SWD","10.0","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1226",1226,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","97.5","Gender","Male","5.0","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1227",1227,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","s","Poverty","Poverty","s","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1228",1228,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","97.1","ELL Status","Not ELL","3.1","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1229",1229,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","97.1","All Students","All Students","2.6","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1230",1230,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","s","Ethnicity","Asian","s","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1231",1231,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","97.2","SWD Status","Not SWD","1.5","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1232",1232,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","s","Ethnicity","Hispanic","s","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1233",1233,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","97.3","ELL Status","ELL","0.0","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1234",1234,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","s","Poverty","Not Poverty","s","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1235",1235,"06M528","I.S. 528 Bea Fuller Rodgers School","2017-18","96.8","Gender","Female","0.0","I.S. 528 Bea Fuller Rodgers School","2017-18",224,0,0.571,0.429,0.013,0,0.179,0.96,0.877,23,26,NA,NA,NA,NA,NA,"Manhattan"
"1236",1236,"07X005","P.S. 5 Port Morris","2017-18","91.2","SWD Status","Not SWD","32.7","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1237",1237,"07X005","P.S. 5 Port Morris","2017-18","s","Ethnicity","White","s","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1238",1238,"07X005","P.S. 5 Port Morris","2017-18","90.6","All Students","All Students","35.6","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1239",1239,"07X005","P.S. 5 Port Morris","2017-18","90.4","Ethnicity","Hispanic","35.3","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1240",1240,"07X005","P.S. 5 Port Morris","2017-18","91.7","ELL Status","Not ELL","31.4","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1241",1241,"07X005","P.S. 5 Port Morris","2017-18","87.9","ELL Status","ELL","45.5","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1242",1242,"07X005","P.S. 5 Port Morris","2017-18","s","Poverty","Poverty","s","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1243",1243,"07X005","P.S. 5 Port Morris","2017-18","s","Ethnicity","Black","s","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1244",1244,"07X005","P.S. 5 Port Morris","2017-18","89.1","SWD Status","SWD","42.9","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1245",1245,"07X005","P.S. 5 Port Morris","2017-18","89.9","Gender","Female","36.4","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1246",1246,"07X005","P.S. 5 Port Morris","2017-18","s","Poverty","Not Poverty","s","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1247",1247,"07X005","P.S. 5 Port Morris","2017-18","91.1","Gender","Male","35.0","P.S. 5 Port Morris","2017-18",722,74,0.483,0.517,0.274,0.029,0.235,0.957,0.954,25.7,NA,12,12,NA,NA,6,"Bronx"
"1248",1248,"07X029","P.S./M.S. 029 Melrose School","2017-18","90.5","ELL Status","Not ELL","41.3","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1249",1249,"07X029","P.S./M.S. 029 Melrose School","2017-18","s","Ethnicity","Asian","s","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1250",1250,"07X029","P.S./M.S. 029 Melrose School","2017-18","90.7","Ethnicity","Black","46.2","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1251",1251,"07X029","P.S./M.S. 029 Melrose School","2017-18","90.3","Poverty","Poverty","41.0","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1252",1252,"07X029","P.S./M.S. 029 Melrose School","2017-18","93.3","ELL Status","ELL","22.2","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1253",1253,"07X029","P.S./M.S. 029 Melrose School","2017-18","96.6","Poverty","Not Poverty","16.7","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1254",1254,"07X029","P.S./M.S. 029 Melrose School","2017-18","90.2","Gender","Female","35.6","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1255",1255,"07X029","P.S./M.S. 029 Melrose School","2017-18","90.7","All Students","All Students","39.3","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1256",1256,"07X029","P.S./M.S. 029 Melrose School","2017-18","87.4","SWD Status","SWD","55.6","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1257",1257,"07X029","P.S./M.S. 029 Melrose School","2017-18","s","Ethnicity","White","s","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1258",1258,"07X029","P.S./M.S. 029 Melrose School","2017-18","91.2","Gender","Male","43.2","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1259",1259,"07X029","P.S./M.S. 029 Melrose School","2017-18","91.6","SWD Status","Not SWD","35.2","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1260",1260,"07X029","P.S./M.S. 029 Melrose School","2017-18","90.3","Ethnicity","Hispanic","38.3","P.S./M.S. 029 Melrose School","2017-18",792,80,0.473,0.527,0.299,0.011,0.215,0.934,0.942,24.5,25,NA,10.5,NA,NA,NA,"Bronx"
"1261",1261,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","87.9","SWD Status","Not SWD","40.4","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1262",1262,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","85.4","Gender","Female","41.3","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1263",1263,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","89.7","Gender","Male","48.6","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1264",1264,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","83.5","ELL Status","ELL","50.0","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1265",1265,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","85.9","Ethnicity","Hispanic","53.4","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1266",1266,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","s","Ethnicity","Asian","s","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1267",1267,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","86.8","Poverty","Poverty","47.2","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1268",1268,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","87.2","All Students","All Students","44.4","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1269",1269,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","87.7","ELL Status","Not ELL","43.7","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1270",1270,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","85.7","SWD Status","SWD","54.2","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1271",1271,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","s","Ethnicity","Black","s","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1272",1272,"07X031","P.S./M.S. 031 The William Lloyd Garrison","2017-18","91.3","Poverty","Not Poverty","22.2","P.S./M.S. 031 The William Lloyd Garrison","2017-18",708,61,0.451,0.549,0.274,0.025,0.24,0.921,0.923,25,22,10.4,NA,NA,NA,NA,"Bronx"
"1273",1273,"07X151","J.H.S. 151 Lou Gehrig","2017-18","93.9","ELL Status","ELL","15.4","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1274",1274,"07X151","J.H.S. 151 Lou Gehrig","2017-18","s","Ethnicity","Black","s","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1275",1275,"07X151","J.H.S. 151 Lou Gehrig","2017-18","90.8","Ethnicity","Hispanic","33.8","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1276",1276,"07X151","J.H.S. 151 Lou Gehrig","2017-18","90.5","Poverty","Poverty","31.7","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1277",1277,"07X151","J.H.S. 151 Lou Gehrig","2017-18","88.4","Gender","Female","42.0","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1278",1278,"07X151","J.H.S. 151 Lou Gehrig","2017-18","90.5","All Students","All Students","31.7","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1279",1279,"07X151","J.H.S. 151 Lou Gehrig","2017-18","92.6","SWD Status","Not SWD","25.9","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1280",1280,"07X151","J.H.S. 151 Lou Gehrig","2017-18","83.4","SWD Status","SWD","52.2","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1281",1281,"07X151","J.H.S. 151 Lou Gehrig","2017-18","88.7","ELL Status","Not ELL","41.5","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1282",1282,"07X151","J.H.S. 151 Lou Gehrig","2017-18","92.4","Gender","Male","22.2","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1283",1283,"07X151","J.H.S. 151 Lou Gehrig","2017-18","s","Ethnicity","White","s","J.H.S. 151 Lou Gehrig","2017-18",261,0,0.475,0.525,0.268,0.023,0.264,0.992,0.947,26,24.5,9,11,NA,NA,NA,"Bronx"
"1284",1284,"07X221","South Bronx Preparatory: A College Board School","2017-18","s","Ethnicity","Black","s","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1285",1285,"07X221","South Bronx Preparatory: A College Board School","2017-18","92.3","Ethnicity","Hispanic","20.5","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1286",1286,"07X221","South Bronx Preparatory: A College Board School","2017-18","90.1","Gender","Male","29.8","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1287",1287,"07X221","South Bronx Preparatory: A College Board School","2017-18","s","Ethnicity","White","s","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1288",1288,"07X221","South Bronx Preparatory: A College Board School","2017-18","93.2","SWD Status","Not SWD","15.7","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1289",1289,"07X221","South Bronx Preparatory: A College Board School","2017-18","s","Poverty","Not Poverty","s","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1290",1290,"07X221","South Bronx Preparatory: A College Board School","2017-18","87.3","SWD Status","SWD","40.7","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1291",1291,"07X221","South Bronx Preparatory: A College Board School","2017-18","s","Poverty","Poverty","s","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1292",1292,"07X221","South Bronx Preparatory: A College Board School","2017-18","93.0","Gender","Female","16.0","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1293",1293,"07X221","South Bronx Preparatory: A College Board School","2017-18","91.6","All Students","All Students","22.7","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1294",1294,"07X221","South Bronx Preparatory: A College Board School","2017-18","s","ELL Status","Not ELL","s","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1295",1295,"07X221","South Bronx Preparatory: A College Board School","2017-18","s","ELL Status","ELL","s","South Bronx Preparatory: A College Board School","2017-18",659,0,0.545,0.455,0.25,0.018,0.267,0.971,0.937,24.5,24,10.3,NA,NA,NA,NA,"Bronx"
"1296",1296,"07X223","The Laboratory School of Finance and Technology: X","2017-18","s","ELL Status","Not ELL","s","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1297",1297,"07X223","The Laboratory School of Finance and Technology: X","2017-18","95.3","All Students","All Students","12.1","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1298",1298,"07X223","The Laboratory School of Finance and Technology: X","2017-18","95.2","Ethnicity","Black","9.1","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1299",1299,"07X223","The Laboratory School of Finance and Technology: X","2017-18","91.3","SWD Status","SWD","30.8","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1300",1300,"07X223","The Laboratory School of Finance and Technology: X","2017-18","s","Ethnicity","White","s","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1301",1301,"07X223","The Laboratory School of Finance and Technology: X","2017-18","97.7","Poverty","Not Poverty","0.0","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1302",1302,"07X223","The Laboratory School of Finance and Technology: X","2017-18","95.2","Ethnicity","Hispanic","13.3","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1303",1303,"07X223","The Laboratory School of Finance and Technology: X","2017-18","95.1","Gender","Male","12.3","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1304",1304,"07X223","The Laboratory School of Finance and Technology: X","2017-18","96.7","SWD Status","Not SWD","5.5","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1305",1305,"07X223","The Laboratory School of Finance and Technology: X","2017-18","s","Ethnicity","Other","s","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1306",1306,"07X223","The Laboratory School of Finance and Technology: X","2017-18","95.1","Poverty","Poverty","12.9","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1307",1307,"07X223","The Laboratory School of Finance and Technology: X","2017-18","s","ELL Status","ELL","s","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1308",1308,"07X223","The Laboratory School of Finance and Technology: X","2017-18","95.6","Gender","Female","11.9","The Laboratory School of Finance and Technology: X","2017-18",684,0,0.485,0.515,0.178,0.007,0.215,0.974,0.923,27,30,10.5,NA,NA,NA,NA,"Bronx"
"1309",1309,"07X224","P.S./I.S. 224","2017-18","90.0","SWD Status","Not SWD","39.0","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1310",1310,"07X224","P.S./I.S. 224","2017-18","88.6","ELL Status","Not ELL","45.2","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1311",1311,"07X224","P.S./I.S. 224","2017-18","s","Ethnicity","Other","s","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1312",1312,"07X224","P.S./I.S. 224","2017-18","s","Poverty","Not Poverty","s","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1313",1313,"07X224","P.S./I.S. 224","2017-18","s","Poverty","Poverty","s","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1314",1314,"07X224","P.S./I.S. 224","2017-18","87.0","SWD Status","SWD","56.3","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1315",1315,"07X224","P.S./I.S. 224","2017-18","91.4","ELL Status","ELL","36.4","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1316",1316,"07X224","P.S./I.S. 224","2017-18","89.3","All Students","All Students","43.1","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1317",1317,"07X224","P.S./I.S. 224","2017-18","89.1","Ethnicity","Black","38.9","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1318",1318,"07X224","P.S./I.S. 224","2017-18","89.4","Ethnicity","Hispanic","44.9","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1319",1319,"07X224","P.S./I.S. 224","2017-18","90.0","Gender","Male","40.7","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1320",1320,"07X224","P.S./I.S. 224","2017-18","s","Ethnicity","White","s","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1321",1321,"07X224","P.S./I.S. 224","2017-18","88.3","Gender","Female","46.4","P.S./I.S. 224","2017-18",358,0,0.436,0.564,0.263,0.014,0.274,0.992,0.964,29.5,26,11,NA,NA,NA,NA,"Bronx"
"1322",1322,"07X296","South Bronx Academy for Applied Media","2017-18","s","Poverty","Not Poverty","s","South Bronx Academy for Applied Media","2017-18",253,0,0.494,0.506,0.328,0.008,0.328,0.937,0.951,22,22,6,10.5,NA,NA,NA,"Bronx"
"1323",1323,"07X296","South Bronx Academy for Applied Media","2017-18","s","Ethnicity","Asian","s","South Bronx Academy for Applied Media","2017-18",253,0,0.494,0.506,0.328,0.008,0.328,0.937,0.951,22,22,6,10.5,NA,NA,NA,"Bronx"
"1324",1324,"07X296","South Bronx Academy for Applied Media","2017-18","87.5","Ethnicity","Hispanic","50.0","South Bronx Academy for Applied Media","2017-18",253,0,0.494,0.506,0.328,0.008,0.328,0.937,0.951,22,22,6,10.5,NA,NA,NA,"Bronx"
"1325",1325,"07X296","South Bronx Academy for Applied Media","2017-18","86.4","Gender","Female","57.1","South Bronx Academy for Applied Media","2017-18",253,0,0.494,0.506,0.328,0.008,0.328,0.937,0.951,22,22,6,10.5,NA,NA,NA,"Bronx"
"1326",1326,"07X296","South Bronx Academy for Applied Media","2017-18","85.3","SWD Status","SWD","51.7","South Bronx Academy for Applied Media","2017-18",253,0,0.494,0.506,0.328,0.008,0.328,0.937,0.951,22,22,6,10.5,NA,NA,NA,"Bronx"
"1327",1327,"07X296","South Bronx Academy for Applied Media","2017-18","s","Ethnicity","Other","s","South Bronx Academy for Applied Media","2017-18",253,0,0.494,0.506,0.328,0.008,0.328,0.937,0.951,22,22,6,10.5,NA,NA,NA,"Bronx"
